A horvát alkotmányban csak a tartós akadályoztatás fogalmát rögzítették , amely az államfő helyettesítésének esetére kötelezően előírta új elnökválasztás kiírását is .	akadályoztatás	6	16	
A magyar keretlegények durvasága , az élelem- és gyógyszerhiány , a hideg , a piszok megtette a magáét .	piszok	14	29	
— Igen , bár nehéz egészséges arányt találni a két műfaj között .	arányt	6	13	
Megközelíthetetlenné vált nyolc Vas megyei község , s hótorlasz mögé szorul a Bács-Kiskun megyei Újsolt 190 lakosa is .	hótorlasz	8	21	
Az IMF által tanácsolt közvetlen jövedelemkiegészítési támogatás bevezetése — amely sok farmert érzékenyen érintene — ugyancsak nehéz döntés elé állítja a török kormányt , mivel a 65 milliós lakosság 45 százaléka gazdálkodó , ami jelentős politikai erőt jelent .	kormányt	22	57	
Dubceknak az volt az álláspontja , hogy a közös állam szétválasztása egyes cseh és szlovák politikusok egyéni ambícióit szolgálhatja ugyan , de semmiképpen nem a két nép érdekeit .	politikusok	15	28	
Oroszország nagyhatalom és fontos partner Magyarország számára .	nagyhatalom	1	6	
II. János Pál pápa már júniusi , majd szeptemberi levelében is bírálta a német püspökségek részvételét a terhes nőknek szervezett állami tanácsadásban , azt vetve a szemükre , hogy az igazolások kiállításával lehetővé teszik meg nem született életek elpusztítását .	tanácsadásban	21	40	
Mindez annak köszönhető , hogy elképesztő méretekben fejlődött a feldolgozóipar , szinte alig van olyan világcég , amelynek a most sújtott Izmitben vagy környékén name lenne vegyesvállalata .	méretekben	6	18	
Az állásbörze nemcsak a végzős diákoknak hasznos , az alsóbb évesek is gyűjthetnek tapasztalatokat , felmérhetik a követelményeket , kapcsolatba kerülhetnek a vállalatokkal , szakmai gyakorlatokra jelentkezhetnek .	vállalatokkal	22	64	
"Az illetékesek elejétől fogva óvatosan kezelték a Nyugatra szökött volt KGB-ügynök "" leleplezéseit "" , ezért az olaszokra vonatkozó listát ugyan közreadták , de az igazságügyi szervek azóta alaposan tanulmányozzák azt ."	olaszokra	17	41	
A megyeszékhelyen egyébként csütörtökre és péntekre tanítási szünetet rendeltek el .	megyeszékhelyen	1	6	
Kiemelkedik az aukcióban részt vevő darabok közül egy ezüstből készült emeletes szédertál , amelyet cizellált arany elemekkel díszítettek és a súlya megközelíti a négy kilót .	aukcióban	2	8	
A nyomozást azt követően rendelték el , hogy a közelmúltban egy holttestet leltek a tokiói repülőtér közelében fekvő egyik szállodában .	nyomozást	1	5	
Hasonlóan járt a Fidesz számára politikai kudarcot és eladósodást hozó 1994-es választások után : túladtak rajta mint gazdasági igazgatón .	igazgatón	18	41	
Veszprém megyében a 8-as úton órákon állt a forgalom Várpalota és a péti elágazás között két elakadt kamion miatt .	kamion	17	36	
Megszervezték ugyanis az Első Magyarországi Judaika Árverést , amelynek keretében értékes kulturális-történeti anyag — könyvek , kéziratok , kegytárgyak és festmények — kerül kalapács alá .	kéziratok	16	36	
A Magyar Tudományos Akadémia ( MTA ) épületében helyet kapott találkozót Glatz Ferenc akadémiai elnök nyitotta meg , aki a magyar nemesség történelmi szerepéről tartott előadást .	helyet	8	10	
